brand,description,rating,reviews,sort,data_coleta,old,new
FILA,Fila Retro Sport 2.0 V2 Masculino Adultos,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,290.69,28.18
REEBOK,Reebok Zig Dynamica 4 Masculino Adultos,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,1099.64,106.0
MIZUNO,Tênis Mizuno Hawk 5 Masculino,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,389.9,319.71
OLYMPIKUS,Olympikus Treino Dynamic Masculino Adultos,4.8,5698,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,279.99,160.99
OLYMPIKUS,Tênis Running Masculino Taurus Olympikus Preto,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,345.78,34.58
NIKE,Tênis Nike Flex Experience 12 Masculino,5.0,1,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,299.99,29.08
OLYMPIKUS,Olympikus Treino Proof 3 Masculino Adultos,4.8,1415,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,199.99,158.99
OLYMPIKUS,Tênis Running Masculino Zex Olympikus Branco E Preto,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,283.99,31.55
NIKE,Tênis Nike Air Max Sc Masculino,4.8,414,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,389.99,39.0
ON RUNNING,On Running Cloudmonster 2 Masculino Branco/preto Adultos,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,1149.99,114.0
FILA,Tênis Fila Kr6 Masculino,4.8,20,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,466.83,415.48
,Kit Tênis Esportivo It Shoes Masculino + Relógio Digital,4.4,295,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,119.9,113.9
OLYMPIKUS,Tênis Running Masculino Triunfo 2 Olympikus Petróleo,0.0,0,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2024-05-25 11:39:55.362729,284.56,31.0
